special_token_size	3
token_size	19870
singleton_size	4304
singleton_max_count	1
4321	stress	5
4322	Zone	4
4323	coup	4
4324	Clearly	5
4325	draw	7
4326	Nasiriya	4
4327	19-year-old	4
4328	ambushed	4
4329	refuel	4
4330	factor	4
4331	invading	4
4332	distant	4
4333	a-10s	4
4334	ranking	5
4335	advances	4
4336	injury	4
4337	whatsoever	5
4338	legs	4
4339	angry	7
4340	locals	4
4341	Anybody	4
4342	Imam	5
4343	heads	8
4344	Meantime	4
4345	patience	6
4346	flags	4
4347	grenade	4
4348	flights	6
4349	steady	4
4350	mortars	7
4351	prospect	6
4352	spots	4
4353	finger	5
4354	burned	5
4355	Humvee	4
4356	squadron	4
4357	confirmation	4
4358	dropping	4
4359	communication	5
4360	Apache	6
4361	ranks	4
4362	listened	4
4363	aftermath	6
4364	ordinary	6
4365	terrified	5
4366	execution	8
4367	reminder	4
4368	photographer	5
4369	craft	5
4370	colleague	5
4371	radar	5
4372	answers	5
4373	flee	4
4374	prominent	5
4375	drew	4
4376	Thurmond	4
4377	length	5
4378	honored	4
4379	elsewhere	6
4380	1990s	5
4381	trail	4
4382	pose	4
4383	democratically	4
4384	peacekeeping	7
4385	clubs	4
4386	Currently	4
4387	assassination	6
4388	hug	4
4389	darkness	4
4390	express	4
4391	prayers	4
4392	depending	6
4393	presidency	5
4394	handful	4
4395	overwhelming	4
4396	load	4
4397	Australian	9
4398	defended	4
4399	indicates	4
4400	Geraldo	4
4401	Arnett	4
4402	ordering	4
4403	imminent	5
4404	hungry	4
4405	principally	4
4406	factory	5
4407	operational	5
4408	cavalry	6
4409	Brigade	7
4410	crucial	4
4411	aerial	6
4412	Bradley	6
4413	Warthog	4
4414	Turns	6
4415	Jose	4
4416	Attorney	7
4417	entitled	4
4418	Prosecutors	4
4419	minor	4
4420	Lebanese	7
4421	arm	7
4422	Young	6
4423	solid	4
4424	card	5
4425	atrocities	4
4426	bonuses	4
4427	fears	7
4428	130	4
4429	neat	4
4430	bullets	4
4431	Hawaii	6
4432	deployed	9
4433	attendant	4
4434	announcing	5
4435	clothes	5
4436	appealing	4
4437	accountable	4
4438	variety	5
4439	consideration	6
4440	cards	4
4441	Hong	15
4442	Kong	15
4443	photographs	4
4444	deploy	7
4445	160	4
4446	compelling	4
4447	roof	4
4448	globe	4
4449	self	5
4450	slowly	5
4451	Taken	4
4452	horribly	4
4453	application	5
4454	O'Conner	4
4455	lasted	5
4456	beating	4
4457	arrangement	6
4458	Hezbollah	15
4459	earning	5
4460	hero	4
4461	Terry	4
4462	pistol	4
4463	Island	4
4464	Bloomberg	4
4465	mystery	4
4466	EPA	4
4467	clashes	6
4468	dawn	5
4469	Joint	6
4470	ordnance	4
4471	C.	4
4472	Louisiana	4
4473	fugitive	4
4474	pending	7
4475	Exxon	4
4476	Mobil	4
4477	rating	4
4478	mysterious	4
4479	settling	4
4480	achieve	4
4481	Malvo	4
4482	Linda	6
4483	shootings	4
4484	motions	5
4485	unfortunately	4
4486	Polar	4
4487	focusing	4
4488	initiative	5
4489	delayed	5
4490	condemned	7
4491	rare	5
4492	Living	4
4493	Omnimedia	4
4494	obstruction	4
4495	unfairly	4
4496	violate	6
4497	believing	4
4498	Bell	4
4499	dealt	4
4500	heat	4
4501	Kmart	4
4502	broker	5
4503	sticks	4
4504	airstrike	4
4505	fines	7
4506	connection	6
4507	staged	6
4508	identical	4
4509	rovers	4
4510	bureau	5
4511	southwestern	4
4512	portion	4
4513	rival	8
4514	massacre	4
4515	impressed	4
4516	lady	4
4517	quit	5
4518	jumping	5
4519	KRAMERS	4
4520	necessarily	4
4521	St	5
4522	satisfied	4
4523	announce	4
4524	implementation	4
4525	negotiations	7
4526	Space	4
4527	humans	4
4528	difficulty	4
4529	Vladimir	11
4530	Heathrow	4
4531	jump	5
4532	forensic	4
4533	jumped	4
4534	raped	4
4535	fetus	4
4536	warned	10
4537	rape	4
4538	Aaron	4
4539	instance	4
4540	hometown	5
4541	county	4
4542	Services	6
4543	Sean	4
4544	Bernard	5
4545	amid	8
4546	hat	4
4547	lurking	5
4548	exile	6
4549	assaulted	4
4550	misdemeanor	4
4551	deadline	5
4552	perfectly	4
4553	Columbia	5
4554	1995	8
4555	fifth	5
4556	stunning	4
4557	uprising	6
4558	stepping	5
4559	dream	4
4560	Commission	5
4561	dump	4
4562	kidnapping	4
4563	beer	4
4564	Tulia	4
4565	harsh	4
4566	legislature	4
4567	criminals	5
4568	lie	6
4569	seventh	4
4570	Willie	4
4571	frantic	4
4572	Future	4
4573	2008	4
4574	liked	4
4575	purchased	4
4576	Hispanic	4
4577	unusual	5
4578	thi-	4
4579	commerce	4
4580	homeless	4
4581	hair	5
4582	murders	5
4583	ridiculous	4
4584	opening	5
4585	for-	4
4586	t-	4
4587	marks	4
4588	Barak	4
4589	Yo	4
4590	rough	4
4591	Elections	4
4592	personality	5
4593	just-	4
4594	thin	4
4595	sisters	4
4596	wondering	4
4597	counselor	4
4598	coordination	4
4599	puts	4
4600	cousin	4
4601	publicly	12
4602	peacefully	6
4603	radiation	4
4604	shock	5
4605	supporters	6
4606	Between	4
4607	2,500	4
4608	Stop	4
4609	oppose	5
4610	struggled	4
4611	dolphins	4
4612	battered	5
4613	cigarettes	4
4614	Program	4
4615	oil-for-food	4
4616	immediate	8
4617	insisting	5
4618	airstrikes	5
4619	Brig	4
4620	Col	4
4621	parliament	10
4622	refugees	4
4623	squad	5
4624	Hamburg	4
4625	defenders	4
4626	organize	4
4627	reluctant	4
4628	conventional	4
4629	disclosed	5
4630	nonaggression	4
4631	beef	4
4632	damaged	5
4633	grandson	5
4634	managing	4
4635	spinal	4
4636	Dhabi	4
4637	Kofi	11
4638	delegate	4
4639	envoy	5
4640	settled	5
4641	1.5	7
4642	26	5
4643	28	10
4644	Lusaka	4
4645	populous	4
4646	Bali	4
4647	annual	7
4648	expand	4
4649	Thousands	7
4650	Shiites	5
4651	stressed	6
4652	forming	9
4653	secular	4
4654	Neither	5
4655	illegally	5
4656	loot	4
4657	Mukhabarat	4
4658	riot	5
4659	Tommy	5
4660	Speaking	4
4661	skip	4
4662	Minneapolis	4
4663	freely	6
4664	revenue	7
4665	disarmament	8
4666	Portuguese	5
4667	hosted	5
4668	Islands	4
4669	spokeswoman	5
4670	uncertain	4
4671	expressed	8
4672	conducive	4
4673	guarantee	4
4674	technically	4
4675	ally	5
4676	acquire	7
4677	negotiated	5
4678	bands	4
4679	cousins	4
4680	Bruce	4
4681	exception	4
4682	performing	4
4683	regularly	4
4684	McGinty	4
4685	engineering	4
4686	policing	4
4687	Taliban	4
4688	Hoon	6
4689	pounds	4
4690	Ngor	4
4691	Article	6
4692	publication	6
4693	axis	6
4694	capable	6
4695	8,000	6
4696	guarantees	6
4697	wounding	4
4698	envoys	4
4699	construction	5
4700	Hebron	7
4701	demolished	4
4702	deter	4
4703	beach	4
4704	reputation	5
4705	Faisal	4
4706	abroad	4
4707	active	8
4708	Alexander	4
4709	stone	4
4710	acceptance	4
4711	delegation	5
4712	repeated	7
4713	removing	4
4714	affect	5
4715	Cam	4
4716	Nam	4
4717	Greece	6
4718	locate	4
4719	Lebron	4
4720	Out	4
4721	Service	5
4722	temporarily	6
4723	yuan	4
4724	AU	4
4725	sounded	4
4726	assured	5
4727	environmental	4
4728	gap	5
4729	phase	5
4730	Affairs	5
4731	altogether	4
4732	policemen	5
4733	physical	4
4734	"in	5
4735	originally	4
4736	Tvrdik	4
4737	52	4
4738	reforms	5
4739	pharmaceutical	4
4740	IMCLONE	4
4741	conclude	4
4742	implement	4
4743	Nazi	4
4744	motivation	5
4745	harder	4
4746	circumstances	6
4747	theory	4
4748	Make	4
4749	commander-in-chief	4
4750	spirit	6
4751	featuring	4
4752	Noaa	4
4753	Meg	4
4754	method	4
4755	functioning	5
4756	excluded	4
4757	science	4
4758	Divorce	4
4759	M.	5
4760	relax	4
4761	landmark	4
4762	exclusive	4
4763	contacting	4
4764	bonds	4
4765	."	5
4766	supervisor	4
4767	resolved	6
4768	copy	4
4769	belt	4
4770	institutions	4
4771	corporation	6
4772	creditors	5
4773	'80s	4
4774	reward	4
4775	assuming	4
4776	schedule	5
4777	lasts	4
4778	liberty	5
4779	Democracy	4
4780	Think	4
4781	Lou	5
4782	costly	4
4783	stockpile	4
4784	medals	4
4785	1970	4
4786	asset	5
4787	RENEWAL	4
4788	MARRIAGE	4
4789	VOWS	4
4790	CARNIVAL	4
4791	CRUISE	4
4792	onboard	4
4793	Thus	5
4794	visible	4
4795	Victoria	5
4796	85	4
4797	Plus	4
4798	reflect	4
4799	Were	4
4800	seats	7
4801	Shi'ites	4
4802	cooperate	4
4803	Bolivia	4
4804	improvements	5
4805	creation	5
4806	THOUSANDS	4
4807	DIED	4
4808	PROTECT	4
4809	ISRAEL	4
4810	defending	6
4811	imperial	5
4812	greatly	5
4813	firmly	4
4814	industries	4
4815	provoked	5
4816	gays	4
4817	referred	4
4818	1\/2	4
4819	homosexuals	4
4820	understood	6
4821	k	4
4822	fights	4
4823	Wilson	4
4824	Team	4
4825	hung	4
4826	theme	10
4827	Vermont	4
4828	Yates	4
4829	manner	4
4830	Malkin	4
4831	links	6
4832	dance	4
4833	AK-47	4
4834	Albo	4
4835	statewide	4
4836	contributors	4
4837	Total	4
4838	Sabato	4
4839	independence	5
4840	paint	4
4841	Tugle	4
4842	1996	5
4843	Byrd	4
4844	Joseph	5
4845	century	5
4846	stream	4
4847	Nobel	4
4848	prize	6
4849	territories	5
4850	Finance	4
4851	Fund	5
4852	Suha	4
4853	pension	5
4854	sliced	4
4855	intimidation	4
4856	Thompson	4
4857	frightening	4
4858	Tokyo	7
4859	Mischie	4
4860	Local	5
4861	Iliescu	4
4862	Anbar	4
4863	-The	4
4864	refuse	5
4865	inviting	6
4866	coat	4
4867	Schrenko	4
4868	farm	4
4869	farmer	4
4870	DB	4
4871	vicious	4
4872	literally	6
4873	seconds	4
4874	intent	5
4875	resulted	4
4876	Tuberville	4
4877	wins	5
4878	hockey	4
4879	Take	6
4880	movies	6
4881	Yahoo!	4
4882	Oracle	4
4883	Gazprom	4
4884	tobacco	4
4885	profitable	4
4886	Greenspan	4
4887	invested	4
4888	purchase	5
4889	Group	13
4890	Maurice	4
4891	competing	4
4892	apologized	5
4893	Edward	4
4894	diamonds	4
4895	Sharpton	4
4896	quantities	4
4897	chicks	4
4898	suffer	5
4899	terribly	4
4900	choices	4
4901	Greenfield	4
4902	Allan	4
4903	pudding	4
4904	ratio	4
4905	medication	4
4906	Analysts	6
4907	degrees	4
4908	reprocessing	5
4909	picking	4
4910	Games	4
4911	Planned	4
4912	condoms	4
4913	Caribbean	4
4914	captain	5
4915	Ted	6
4916	NPR	4
4917	row	7
4918	Mickey	4
4919	intern	4
4920	grows	4
4921	dialogue	7
4922	evenly	4
4923	drenched	4
4924	denies	6
4925	Arnold	4
4926	Considering	4
4927	proved	4
4928	swimming	4
4929	Peggy	4
4930	protective	4
4931	wh	4
4932	J.D.	4
4933	Hayworth	4
4934	inconclusive	4
4935	isolated	4
4936	tribal	6
4937	Carl	4
4938	qualities	4
4939	greedy	4
4940	concrete	5
4941	Shandong	4
4942	inasmuch	4
4943	numerous	5
4944	entirely	6
4945	rated	4
4946	legally	5
4947	quality	5
4948	affecting	4
4949	rarely	5
4950	revealed	6
4951	warheads	7
4952	trend	4
4953	charms	4
4954	generals	5
4955	revenues	7
4956	pleased	4
4957	corporations	4
4958	studied	4
4959	Lake	4
4960	licensing	4
4961	Ewart	4
4962	noon	6
4963	31	5
4964	yard	4
4965	conducted	5
4966	Del	4
4967	clients	6
4968	wealth	6
4969	Jan	5
4970	Trying	4
4971	uncomfortable	5
4972	kiss	4
4973	existed	4
4974	Merck	4
4975	united	5
4976	Basically	4
4977	Keep	4
4978	pigs	4
4979	potent	4
4980	Gosh	4
4981	gallery	4
4982	Commander	4
4983	ladies	4
4984	GDP	4
4985	uranium	4
4986	Reno	4
4987	Way	4
4988	gruesome	4
4989	equal	5
4990	Bacon	4
4991	coexist	4
4992	permission	5
4993	alumni	4
4994	insight	4
4995	touchdown	4
4996	embarrassed	5
4997	sweet	4
4998	gifts	5
4999	fee	5
5000	bowl	4
5001	Wait	4
5002	scores	5
5003	composite	4
5004	percentage	5
5005	Prize	4
5006	cork	4
5007	Commander-in-Chief	4
5008	feature	4
5009	tsunami	4
5010	accountability	4
5011	broadcast	4
5012	civilization	4
5013	tiny	6
5014	babies	5
5015	burning	4
5016	Seattle	5
5017	WE	4
5018	associated	5
5019	championship	4
5020	chip	4
5021	dry	5
5022	neurosurgeons	4
5023	eighties	4
5024	checked	5
5025	FT	4
5026	Hood	8
5027	upside	5
5028	Surely	4
5029	t-shirts	4
5030	Caesar	4
5031	Got	5
5032	indicator	4
5033	gentlemen	4
5034	fortunate	4
5035	gigantic	4
5036	Cook	4
5037	asleep	4
5038	tournaments	6
5039	deficits	4
5040	meg	4
5041	Suddenly	4
5042	earn	4
5043	practically	4
5044	consumers	4
5045	Having	4
5046	symptoms	4
5047	irresponsible	4
5048	Usually	4
5049	Check	4
5050	CASH	4
5051	communities	4
5052	R-	4
5053	govern	5
5054	Arraf	4
5055	Alt	4
5056	.atheism	4
5057	passenger	4
5058	actor	4
5059	Ebbin	4
5060	Stocks	4
5061	shells	4
5062	wire	5
5063	Can't	4
5064	classes	4
5065	defensive	5
5066	Phillips	4
5067	color	5
5068	fishermen	4
5069	cruises	4
5070	Olsen	4
5071	awhile	4
5072	revelations	5
5073	talent	4
5074	Orlando	6
5075	Aw	4
5076	Nortel	4
5077	Anniston	4
5078	plain	4
5079	IPO	4
5080	accord	5
5081	vacuum	4
5082	idiot	6
5083	rock	6
5084	Indians	4
5085	Karmazin	4
5086	d-	4
5087	vault	4
5088	exact	4
5089	Obviously	4
5090	citizen	6
5091	questioning	4
5092	headlines	4
5093	expects	4
5094	gained	4
5095	openly	6
5096	incentives	4
5097	obsessed	4
5098	scoring	4
5099	Kellogg	4
5100	closest	4
5101	forgot	4
5102	liberated	4
5103	fatigue	4
5104	justify	5
5105	teenage	4
5106	Ron	4
5107	wheel	5
5108	Barry	6
5109	pink	4
5110	I-	4
5111	match	4
5112	eggs	4
5113	equity	5
5114	Free	5
5115	proving	4
5116	socket	4
5117	Sports	4
5118	Field	4
5119	Tomorrow	4
5120	require	6
5121	Ensor	4
5122	Turner	6
5123	0	4
5124	prayed	4
5125	wild	4
5126	Delaware	4
5127	tears	4
5128	Dog	4
5129	operate	6
5130	Daniel	5
5131	invest	4
5132	signal	6
5133	counties	4
5134	jerseys	4
5135	remaining	7
5136	tweens	4
5137	fit	4
5138	shores	3
5139	10th	3
5140	nomination	3
5141	Dale	3
5142	bills	3
5143	Roosevelt	3
5144	sue	3
5145	protesting	3
5146	screw	3
5147	insurers	3
5148	chains	3
5149	Foundation	4
5150	pays	3
5151	eliminate	5
5152	surgeons	3
5153	Less	3
5154	horrific	3
5155	payment	5
5156	Ayatollah	3
5157	kills	3
5158	pope	3
5159	remained	5
5160	disarming	4
5161	MSNBC	4
5162	feared	3
5163	waving	4
5164	Electric	8
5165	Moseley-Braun	3
5166	Listen	3
5167	fireback	3
5168	wacky	3
5169	critics	3
5170	Don	4
5171	Denver	3
5172	Halliburton	3
5173	valued	3
5174	harbor	3
5175	Candy	3
5176	Crowley	3
5177	bothered	3
5178	bother	3
5179	Chuck	3
5180	trapped	3
5181	1500	4
5182	approached	4
5183	marching	4
5184	sympathizers	4
5185	innocence	4
5186	painful	3
5187	surprising	3
5188	adjust	3
5189	overturn	4
5190	Kalak	3
5191	smuggling	3
5192	Wedeman	3
5193	describing	3
5194	evident	3
5195	meantime	4
5196	hills	3
5197	stronghold	4
5198	constant	3
5199	soft	3
5200	enjoying	4
5201	spring	3
5202	39	3
5203	classified	3
5204	indicating	3
5205	likelihood	4
5206	eliminated	3
5207	judy	4
5208	daring	3
5209	maintenance	3
5210	survey	4
5211	highways	3
5212	Lang	3
5213	sprawling	4
5214	encountered	4
5215	superior	3
5216	housed	3
5217	gates	3
5218	measured	3
5219	roar	3
5220	surge	3
5221	greeted	3
5222	portrait	3
5223	Relations	3
5224	presumably	3
5225	withdrawn	4
5226	poised	3
5227	elite	3
5228	Arabic	4
5229	Grand	5
5230	shrine	3
5231	await	3
5232	Lejeune	3
5233	Outside	3
5234	mortar	3
5235	pounded	4
5236	casualty	3
5237	assigned	3
5238	whereabouts	4
5239	expelled	3
5240	bits	3
5241	Yarmuk	3
5242	Ba'ath	3
5243	rockets	4
5244	makeshift	3
5245	posed	4
5246	Same	3
5247	jeep	3
5248	Fort	9
5249	erupted	5
5250	battalion	3
5251	southeastern	3
5252	mail	3
5253	cook	3
5254	frustration	3
5255	Andrews	5
5256	cells	3
5257	tortured	4
5258	Hamid	3
5259	neutral	4
5260	Centcom	3
5261	editorial	5
5262	columnist	3
5263	elementary	3
5264	ABC	4
5265	neutrality	3
5266	firefight	4
5267	Live	3
5268	Al-Jazeera	5
5269	Omar	3
5270	soil	3
5271	restarting	3
5272	Ahead	4
5273	crews	3
5274	graders	3
5275	fails	3
5276	thieves	3
5277	theater	3
5278	Saeed	4
5279	provinces	3
5280	docs	3
5281	blowing	4
5282	32	3
5283	shrapnel	3
5284	dial	3
5285	Corporal	4
5286	Nixon	3
5287	ambush	4
5288	appearance	5
5289	improved	3
5290	expressing	3
5291	Cuba	3
5292	inter	3
5293	likewise	4
5294	emerge	3
5295	diplomat	9
5296	exclusively	3
5297	Burns	3
5298	switched	3
5299	felony	3
5300	appealed	6
5301	4-year-old	3
5302	bathtub	3
5303	Youth	3
5304	Student	3
5305	greet	3
5306	stomach	3
5307	reunion	3
5308	orange	3
5309	networks	3
5310	siege	3
5311	stages	3
5312	actively	4
5313	battling	3
5314	approaching	3
5315	insists	3
5316	disappear	3
5317	Rivera	3
5318	veteran	3
5319	compromised	3
5320	bitter	5
5321	whistle	3
5322	spreading	3
5323	monitor	3
5324	Late	3
5325	shore	3
5326	recovery	4
5327	niece	3
5328	pie	3
5329	Front	3
5330	rocking	3
5331	850	3
5332	suburbs	8
5333	Reports	4
5334	Walt	3
5335	3-7th	3
5336	critically	3
5337	remnants	3
5338	a-10	3
5339	noise	3
5340	engine	4
5341	attempting	4
5342	yacht	4
5343	Guards	3
5344	throat	3
5345	couch	3
5346	expired	3
5347	hostage	3
5348	Hands	3
5349	Achille	3
5350	Lauro	3
5351	disabled	3
5352	Klinghoffer	3
5353	coroner	3
5354	unable	3
5355	stab	3
5356	steep	3
5357	Germ	3
5358	follows	3
5359	shape	3
5360	collection	4
5361	Rhonda	3
5362	Schaffler	3
5363	outraged	3
5364	9th	3
5365	searched	4
5366	Delta	3
5367	retention	3
5368	concede	3
5369	unexpected	3
5370	Across	4
5371	Tomahawk	5
5372	virus	3
5373	sets	3
5374	dealers	3
5375	Denise	3
5376	Jonathan	3
5377	Brady	3
5378	demonstrating	4
5379	transformation	3
5380	Lawrence	4
5381	considerable	7
5382	upstate	3
5383	hazing	3
5384	pledge	8
5385	Typical	3
5386	smuggle	3
5387	gunmen	3
5388	worrying	3
5389	badly	4
5390	warehouse	3
5391	observe	3
5392	1990	6
5393	boast	3
5394	sleeping	3
5395	Against	3
5396	Katrina	3
5397	gross	3
5398	mistress	3
5399	responding	3
5400	Wizards	3
5401	unwanted	3
5402	cheering	5
5403	regional	7
5404	Beirut	6
5405	verge	3
5406	Dallek	3
5407	ambition	3
5408	conspirator	3
5409	silent	3
5410	courtroom	3
5411	Yemen	3
5412	admits	7
5413	washed	3
5414	Marina	3
5415	laci	3
5416	Investigators	4
5417	tie	4
5418	Somebody	3
5419	Christine	3
5420	regulations	3
5421	resignation	6
5422	everyday	3
5423	Soon	3
5424	Afghan	3
5425	Flight	3
5426	stall	3
5427	woods	3
5428	tight	3
5429	advisers	8
5430	murderer	3
5431	relentless	3
5432	psychiatrist	3
5433	commit	5
5434	incentive	3
5435	resident	3
5436	noted	8
5437	CEOS	6
5438	disagreement	4
5439	depot	3
5440	preliminary	4
5441	5,000	4
5442	Express	3
5443	fame	3
5444	dig	3
5445	probe	3
5446	shoes	3
5447	bears	4
5448	Bernie	3
5449	singled	3
5450	select	3
5451	prosecute	3
5452	integrity	4
5453	Tampa	3
5454	defendant	4
5455	passes	3
5456	perjury	3
5457	lied	3
5458	chop	3
5459	considers	4
5460	10:00	3
5461	orbit	3
5462	rapist	4
5463	deputy	8
5464	concentrate	3
5465	investigators	4
5466	pond	5
5467	committees	3
5468	fail	4
5469	retailer	3
5470	bishops	3
5471	prosecuted	4
5472	Jean	4
5473	7-year-old	3
5474	Kramer	3
5475	epidemic	3
5476	kramers	3
5477	Kramers	3
5478	Abigail	3
5479	halting	3
5480	Benton	3
5481	fatal	3
5482	Conference	3
5483	transferred	3
5484	plea	4
5485	Ferris	3
5486	Sheikh	4
5487	tarmac	3
5488	van	3
5489	sidelines	3
5490	charging	4
5491	chasing	3
5492	monarchy	3
5493	affection	3
5494	eldest	4
5495	throne	3
5496	Wales	3
5497	moon	3
5498	oxygen	3
5499	acquiring	5
5500	difficulties	3
5501	sensational	3
5502	Guardian	4
5503	Ford	3
5504	irs	4
5505	Allah	3
5506	Carter	3
5507	Lawyers	3
5508	1982	3
5509	16-year-old	3
5510	1980	3
5511	waterways	3
5512	Operations	4
5513	Movement	3
5514	escorted	3
5515	absentia	3
5516	Baseball	3
5517	activists	4
5518	infections	3
5519	Nearly	3
5520	Riyadh	4
5521	McVeigh	3
5522	P	3
5523	Building	3
5524	Truman	3
5525	crashing	3
5526	Birmingham	3
5527	directors	10
5528	toy	3
5529	machinery	3
5530	Harrod	3
5531	Nick	3
5532	23rd	3
5533	trials	4
5534	credibility	6
5535	Appeals	4
5536	apartment	7
5537	kidnapped	3
5538	nineteen	3
5539	evenings	3
5540	Girl	3
5541	merged	3
5542	twenty-five	3
5543	language	3
5544	al-Qaeda	3
5545	y	3
5546	Condoleezza	4
5547	Rudy	3
5548	panicked	3
5549	dumped	4
5550	ocean	3
5551	violations	3
5552	soap	3
5553	opera	3
5554	Watch	6
5555	stating	3
5556	buys	3
5557	imprisoned	3
5558	respected	4
5559	innocent	4
5560	studies	3
5561	divide	4
5562	goals	3
5563	hatred	3
5564	solve	4
5565	Criminal	3
5566	pleasure	3
5567	fifteen	3
5568	strangled	3
5569	degree	4
5570	automatically	4
5571	Ever	3
5572	regards	4
5573	wore	3
5574	mm	3
5575	HM	3
5576	safer	3
5577	poisoned	3
5578	he-	3
5579	thick	3
5580	divorced	3
5581	lovely	4
5582	swinging	3
5583	joy	3
5584	pastor	3
5585	reprimanded	3
5586	supportive	3
5587	extremist	3
5588	Manhattan	5
5589	Anything	3
5590	protested	3
5591	Vancouver	4
5592	promised	5
5593	forgive	5
5594	adults	3
5595	64	3
5596	shipments	3
5597	shouted	4
5598	swarmed	3
5599	bottles	3
5600	Plans	3
5601	placing	6
5602	tons	4
5603	distributed	3
5604	launching	4
5605	noose	3
5606	waves	3
5607	rebel	4
5608	Early	4
5609	northeast	5
5610	Irbil	3
5611	Turkish	13
5612	advised	5
5613	Bolton	3
5614	Chiefs	5
5615	lit	3
5616	mistaken	3
5617	crashed	3
5618	heaven	3
5619	referring	4
5620	Ground	3
5621	approaches	3
5622	tuberculosis	3
5623	deterrent	3
5624	divides	3
5625	triggered	4
5626	tactical	3
5627	dependent	3
5628	crossfire	3
5629	viewed	3
5630	1984	3
5631	1937	3
5632	tightened	3
5633	battled	3
5634	cameraman	3
5635	secretary-general	4
5636	Secretary-general	4
5637	taught	4
5638	Geneva	5
5639	S.	3
5640	postponed	4
5641	wishes	4
5642	Zambia	3
5643	Commercial	3
5644	dictator	7
5645	Timor	3
5646	freed	3
5647	Sept.	3
5648	obsolete	3
5649	unnecessary	3
5650	Studies	5
5651	1980s	3
5652	withdrew	5
5653	prompted	4
5654	uses	4
5655	boycotted	3
5656	separating	4
5657	ancient	4
5658	handing	3
5659	Maj	3
5660	infrastructure	3
5661	treason	3
5662	Reznik	3
5663	Interfax	6
5664	invalidate	3
5665	two-thirds	4
5666	adopted	3
5667	eager	3
5668	discover	3
5669	Barzan	3
5670	1989	5
5671	1979	4
5672	artifacts	3
5673	jailed	6
5674	upheld	3
5675	Mahathir	7
5676	Shaquille	3
5677	Lakers	3
5678	playoff	3
5679	divisive	3
5680	la	4
5681	Portugal	4
5682	Nine	3
5683	scanners	3
5684	90,000	3
5685	temperature	3
5686	impression	3
5687	reactor	3
5688	essential	4
5689	Gun	4
5690	finalized	3
5691	submarines	3
5692	batteries	3
5693	leaked	4
5694	H.	4
5695	Stability	3
5696	Planning	4
5697	Abdullah	4
5698	beings	3
5699	submitted	7
5700	violating	4
5701	arose	3
5702	offices	7
5703	outstanding	3
5704	reprocessed	3
5705	prescription	3
5706	Mall	3
5707	Afula	3
5708	attacker	3
5709	riding	3
5710	towns	3
5711	Tel	4
5712	Aviv	4
5713	drowned	3
5714	ineligible	3
5715	54	4
5716	Interior	3
5717	windows	4
5718	eve	3
5719	begins	5
5720	congressman	3
5721	telecommunications	3
5722	threats	4
5723	poison	3
5724	Nelson	3
5725	acquitted	3
5726	ranging	3
5727	directing	3
5728	Mohamed	3
5729	refusing	4
5730	Hanh	3
5731	bribes	3
5732	Communist	3
5733	Labor	3
5734	Cape	3
5735	last-minute	4
5736	Naxakis	3
5737	guerrilla	4
5738	patrols	3
5739	Mechanized	4
5740	survival	3
5741	scattered	4
5742	Korb	3
5743	Cavaliers	3
5744	swept	4
5745	pin	3
5746	phenom	3
5747	storage	3
5748	Travel	3
5749	breaks	4
5750	frozen	4
5751	72	3
5752	Management	3
5753	2:30	3
5754	reaching	4
5755	polar	3
5756	appointment	4
5757	improve	5
5758	designated	3
5759	neighboring	4
5760	offenses	3
5761	involvement	5
5762	venue	6
5763	Rashid	3
5764	bar	3
5765	Sandiganbayan	3
5766	dismiss	3
5767	plunder	3
5768	Czech	3
5769	Spidla	3
5770	uncles	3
5771	etc.	5
5772	WMD	3
5773	preference	3
5774	careers	3
5775	hesitate	3
5776	meds	3
5777	possibilities	4
5778	appalling	3
5779	terminal	4
5780	lds	3
5781	OLD	3
5782	WEDDING	3
5783	PROBLEM	3
5784	sealing	3
5785	sympathy	4
5786	users	3
5787	AND	3
5788	qualifies	3
5789	fees	6
5790	monetary	3
5791	cent	3
5792	486	3
5793	Believe	3
5794	merits	3
5795	mob	5
5796	reminded	3
5797	cop	3
5798	execs	3
5799	physically	3
5800	Norman	3
5801	Marino	3
5802	parked	3
5803	film	9
5804	helm	3
5805	cope	3
5806	rent	3
5807	fl	3
5808	FL	3
5809	crap	3
5810	diagnosis	3
5811	orderly	3
5812	abusive	3
5813	cops	3
5814	pressing	5
5815	nurses	4
5816	consciousness	3
5817	buckle	3
5818	grabbed	3
5819	Er	3
5820	vessels	3
5821	nut	3
5822	extremists	3
5823	Commerce	4
5824	junk	3
5825	Ms.	3
5826	estate	4
5827	e	5
5828	-the	3
5829	Getting	3
5830	shall	4
5831	merely	3
5832	regions	5
5833	resembling	3
5834	Wa	3
5835	Dutch	5
5836	Election	3
5837	failures	4
5838	impose	4
5839	powers	6
5840	Fried	3
5841	appreciation	3
5842	preservation	3
5843	Charlotte	3
5844	Dinger	3
5845	funding	3
5846	competition	4
5847	NY	3
5848	groom	3
5849	attractive	4
5850	virtually	3
5851	carnival	3
5852	LONDON	6
5853	Harrods	3
5854	Nashville	3
5855	irony	3
5856	illegitimate	3
5857	sits	3
5858	overnight	4
5859	Unlike	4
5860	mandatory	3
5861	incompetent	3
5862	state-of-the-art	3
5863	arbitration	3
5864	?s	3
5865	privatization	3
5866	Within	4
5867	doubled	3
5868	Lozada	3
5869	Eventually	3
5870	Given	3
5871	norm	3
5872	Likely	4
5873	Too	3
5874	declaration	4
